,Name,Date,Rate,Genre,Certificate
2992,Guardians of the Galaxy Vol. 3,2023,,"Action, Adventure, Comedy",None
5554,Jonathan Creek,2023,8.1,"Comedy, Crime, Drama",TV-MA
5872,One Foot in the Grave,2023,7.8,"Comedy, Drama",TV-PG
4722,One Foot in the Grave,2023,7.8,"Comedy, Drama",TV-PG
4721,Ant-Man and the Wasp: Quantumania,2023,,"Action, Adventure, Comedy",None
5871,Ant-Man and the Wasp: Quantumania,2023,,"Action, Adventure, Comedy",None
4404,Jonathan Creek,2023,8.1,"Comedy, Crime, Drama",TV-MA
2091,The Little Mermaid,2023,,"Adventure, Family, Fantasy",None
2001,Oppenheimer,2023,,"Biography, Drama, History",None
4570,Shazam! Fury of the Gods,2023,,"Action, Adventure, Comedy",None
2021,Wonka,2023,,"Adventure, Comedy, Family",None
5553,The Exorcist,2023,,Horror,None
4403,The Exorcist,2023,,Horror,None
5720,Shazam! Fury of the Gods,2023,,"Action, Adventure, Comedy",None
1036,Luna Park,2022,6.4,"Drama, Romance",TV-MA
4425,Tales of the Unexpected,2022,7.7,"Comedy, Drama, Horror",None
1035,Alias,2022,7.6,"Action, Drama, Mystery",TV-14
1034,Don't Worry Darling,2022,,"Crime, Drama, Horror",None
4424,Starsky and Hutch,2022,7.0,"Action, Crime, Drama",None
1030,Carnival Row,2022,7.8,"Crime, Drama, Fantasy",TV-MA
4430,Argylle,2022,,Action,None
1528,Babylon,2022,,Drama,None
4464,The Bad Guys,2022,,"Animation, Adventure, Comedy",None
1029,Morbius,2022,,"Action, Adventure, Drama",PG-13
1024,Fantastic Beasts: The Secrets of Dumbledore,2022,,"Adventure, Family, Fantasy",None
1020,Rome,2022,8.7,"Action, Drama, History",TV-MA
998,Nanatsu no taizai,2022,8.0,"Animation, Action, Adventure",TV-14
1019,Death on the Nile,2022,,"Crime, Drama, Mystery",None
981,Uncharted,2022,,"Action, Adventure",None
295,The 355,2022,,"Action, Thriller",PG-13
2327,Salem's Lot,2022,,Horror,None
3232,The Adam Project,2022,,"Action, Adventure, Sci-Fi",None
5232,Disenchanted,2022,,"Animation, Adventure, Comedy",None
950,Avatar 2,2022,,"Action, Adventure, Sci-Fi",None
2320,Matilda,2022,,"Comedy, Drama, Family",None
982,Godfather of Harlem,2022,8.0,"Crime, Drama",TV-MA
4423,Project Blue Book,2022,7.7,"Drama, Mystery, Sci-Fi",TV-14
4420,Asteroid City,2022,,"Comedy, Romance",None
4421,Alone,2022,8.4,"Documentary, Reality-TV",TV-14
